Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
automato,automation ,,Should help with automating some of the user-focused enumeration tasks during an internal penetration test.,https://github.com/skahwah/automato,BlackArch
autonessus,automation ,,This script communicates with the Nessus API in an attempt to help with automating scans.,https://github.com/redteamsecurity/AutoNessus,BlackArch
autonse,automation ,,Massive NSE (Nmap Scripting Engine) AutoSploit and AutoScanner.,https://github.com/m4ll0k/AutoNSE,BlackArch
autopsy,forensic ,,The forensic browser. A GUI for the Sleuth Kit.,https://github.com/sleuthkit/autopsy,BlackArch
autopwn,automation ,,Specify targets and run sets of tools against them.,https://github.com/nccgroup/autopwn,BlackArch
autorecon,automation ,,A multi-threaded network reconnaissance tool which performs automated enumeration of services.,https://github.com/Tib3rius/AutoRecon,BlackArch
autosint,recon ,,Tool to automate common osint tasks.,https://github.com/bharshbarger/AutOSINT,BlackArch
autosploit,exploitation ,,Automate the exploitation of remote hosts.,https://github.com/NullArray/AutoSploit,BlackArch
autovpn,networking ,,Easily connect to a VPN in a country of your choice.,https://github.com/adtac/autovpn,BlackArch
avaloniailspy,decompiler ,,.NET Decompiler (port of ILSpy),https://github.com/icsharpcode/AvaloniaILSpy,BlackArch
avet,binary ,,AntiVirus Evasion Tool,https://github.com/govolution/avet,BlackArch
avml,misc ,,A portable volatile memory acquisition tool for Linux.,https://github.com/microsoft/avml,BlackArch
aws-extender-cli,scanner ,,Script to test S3 buckets as well as Google Storage buckets and Azure Storage containers for common misconfiguration issues.,https://github.com/VirtueSecurity/aws-extender-cli,BlackArch
aws-iam-privesc,scanner ,,AWS IAM policy scanner that helps determine where privilege escalation can be achieved.,https://github.com/cyberqueenmeg/aws_iam_privesc,BlackArch
aws-inventory,recon ,,Discover resources created in an AWS account.,https://github.com/nccgroup/aws-inventory,BlackArch
awsbucketdump,automation ,,A tool to quickly enumerate AWS S3 buckets to look for loot.,https://github.com/jordanpotti/AWSBucketDump,BlackArch
azazel,backdoor ,,A userland rootkit based off of the original LD_PRELOAD technique from Jynx rootkit.,https://github.com/chokepoint/azazel,BlackArch
aztarna,recon ,,A footprinting tool for ROS and SROS systems.,https://github.com/aliasrobotics/aztarna,BlackArch
backcookie,backdoor ,,Small backdoor using cookie.,https://github.com/mrjopino/backcookie,BlackArch
backdoor-apk,mobile ,,Shell script that simplifies the process of adding a backdoor to any Android APK file,https://github.com/dana-at-cp/backdoor-apk,BlackArch
backdoor-factory,backdoor ,,Patch win32/64 binaries with shellcode.,https://github.com/secretsquirrel/the-backdoor-factory,BlackArch
backdoorme,backdoor ,,A powerful utility capable of backdooring Unix machines with a slew of backdoors.,https://github.com/Kkevsterrr/backdoorme,BlackArch
backdoorppt,backdoor ,,Transform your payload.exe into one fake word doc (.ppt).,https://github.com/r00txp10it/backdoorppt,BlackArch
backfuzz,fuzzer ,,A network protocol fuzzing toolkit.,https://github.com/localh0t/backfuzz,BlackArch
backhack,mobile ,,"Tool to perform Android app analysis by backing up and extracting apps, allowing you to analyze and modify file system contents for apps.",https://github.com/l0gan/backHack,BlackArch
backoori,exploitation ,,Tool aided persistence via Windows URI schemes abuse.,https://github.com/giuliocomi/backoori,BlackArch
backorifice,windows ,,A remote administration system which allows a user to control a computer across a tcpip connection using a simple console or GUI application.,http://www.cultdeadcow.com/tools/bo.html,BlackArch
bad-pdf,exploitation ,,Steal NTLM Hashes with Bad-PDF.,https://github.com/deepzec/Bad-Pdf,BlackArch
badkarma,recon ,,Advanced network reconnaissance toolkit.,https://github.com/r3vn/badKarma,BlackArch
badministration,webapp ,,A tool which interfaces with management or administration applications from an offensive standpoint.,https://github.com/ThunderGunExpress/BADministration,BlackArch
bagbak,mobile ,,Yet another frida based App decryptor.,https://github.com/ChiChou/bagbak,BlackArch
balbuzard,malware ,,"A package of malware analysis tools in python to extract patterns of interest from suspicious files (IP addresses, domain names, known file headers, interesting strings, etc).",https://bitbucket.org/decalage/balbuzard/,BlackArch
bamf-framework,malware ,,A modular framework designed to be a platform to launch attacks against botnets.,https://github.com/bwall/BAMF,BlackArch
bandicoot,mobile ,,A toolbox to analyze mobile phone metadata.,https://pypi.org/project/bandicoot/#files,BlackArch
bandit,code-audit ,,Python security linter from OpenStack Security,https://github.com/PyCQA/bandit,BlackArch
barf,binary ,,A multiplatform open source Binary Analysis and Reverse engineering Framework.,https://github.com/programa-stic/barf-project,BlackArch
barmie,scanner ,,Java RMI enumeration and attack tool.,https://github.com/NickstaDB/BaRMIe,BlackArch
barq,exploitation ,,An AWS Cloud Post Exploitation framework.,https://github.com/Voulnet/barq,BlackArch
base64dump,misc ,,Extract and decode base64 strings from files.,https://blog.didierstevens.com/my-software/#base64dump,BlackArch
basedomainname,recon ,,"Tool that can extract TLD (Top Level Domain), domain extensions (Second Level Domain + TLD), domain name, and hostname from fully qualified domain names.",http://www.morningstarsecurity.com/research,BlackArch
bashfuscator,automation ,,Fully configurable and extendable Bash obfuscation framework.,https://github.com/Bashfuscator/Bashfuscator,BlackArch
bashscan,scanner ,,A port scanner built to utilize /dev/tcp for network and service discovery.,https://github.com/astryzia/BashScan,BlackArch
batctl,wireless ,,B.A.T.M.A.N. advanced control and management tool,http://www.open-mesh.net/,BlackArch
batman-adv,wireless ,,"Batman kernel module, (included upstream since .38)",http://www.open-mesh.net/,BlackArch
batman-alfred,wireless ,,Almighty Lightweight Fact Remote Exchange Daemon.,http://www.open-mesh.org/,BlackArch
bbqsql,webapp ,,SQL injection exploit tool.,https://github.com/neohapsis/bbqsql,BlackArch
bbscan,webapp ,,A tiny Batch web vulnerability Scanner.,https://github.com/lijiejie/bbscan,BlackArch
bdfproxy,proxy ,,Patch Binaries via MITM: BackdoorFactory + mitmProxy,https://github.com/secretsquirrel/BDFProxy,BlackArch
bdlogparser,malware ,,"This is a utility to parse a Bit Defender log file, in order to sort them into a malware archive for easier maintenance of your malware collection.",http://magikh0e.xyz/,BlackArch
bed,exploitation ,,"Collection of scripts to test for buffer overflows, format string vulnerabilities.",http://www.aldeid.com/wiki/Bed,BlackArch
beebug,decompiler ,,A tool for checking exploitability.,https://github.com/invictus1306/beebug,BlackArch
beef,exploitation ,,The Browser Exploitation Framework that focuses on the web browser.,http://beefproject.com/,BlackArch
beeswarm,honeypot ,,Honeypot deployment made easy http://www.beeswarm-ids.org/,https://github.com/honeynet/beeswarm/,BlackArch
beholder,wireless ,,A wireless intrusion detection tool that looks for anomalies in a wifi environment.,http://www.beholderwireless.org/,BlackArch
belati,scanner ,,The Traditional Swiss Army Knife for OSINT.,https://github.com/aancw/Belati,BlackArch
beleth,cracker ,,A Multi-threaded Dictionary based SSH cracker.,https://github.com/chokepoint/Beleth,BlackArch
bettercap,sniffer ,,Swiss army knife for network attacks and monitoring,https://github.com/bettercap/bettercap,BlackArch
bettercap-ui,misc ,,Official Bettercap's Web UI.,https://github.com/bettercap/ui,BlackArch
bfac,recon ,,An automated tool that checks for backup artifacts that may disclose the web-application's source code.,https://github.com/mazen160/bfac,BlackArch
bfbtester,exploitation ,,Performs checks of single and multiple argument command line overflows and environment variable overflows,http://sourceforge.net/projects/bfbtester/,BlackArch
bfuzz,fuzzer ,,Input based fuzzer tool for browsers.,https://github.com/RootUp/BFuzz,BlackArch
bgp-md5crack,cracker ,,RFC2385 password cracker,http://www.c0decafe.de/,BlackArch
bgrep,binary ,,Binary grep.,https://github.com/tmbinc/bgrep,BlackArch
billcipher,recon ,,Information Gathering tool for a Website or IP address.,https://github.com/GitHackTools/BillCipher,BlackArch
binaryninja-demo,reversing ,,A new kind of reversing platform (demo version).,http://binary.ninja/demo.html,BlackArch
binaryninja-python,binary ,,Binary Ninja prototype written in Python.,https://github.com/Vector35/binaryninja-python,BlackArch
bind,networking ,,"A complete, highly portable implementation of the DNS protocol",https://www.isc.org/software/bind/,BlackArch
bindead,binary ,,A static analysis tool for binaries,https://bitbucket.org/mihaila/bindead,BlackArch
bindiff,binary ,,"A comparison tool for binary files, that assists vulnerability researchers and engineers to quickly find differences and similarities in disassembled code.",http://www.zynamics.com/bindiff.html,BlackArch
binex,exploitation ,,Format String exploit building tool.,http://www.morxploit.com/morxtool,BlackArch
binflow,binary ,,POSIX function tracing. Much better and faster than ftrace.,https://github.com/elfmaster/binflow,BlackArch
bing-ip2hosts,recon ,,Enumerates all hostnames which Bing has indexed for a specific IP address.,http://www.morningstarsecurity.com/research/bing-ip2hosts,BlackArch
bing-lfi-rfi,webapp ,,Python script for searching Bing for sites that may have local and remote file inclusion vulnerabilities.,http://packetstormsecurity.com/files/121590/Bing-LFI-RFI-Scanner.html,BlackArch
bingoo,scanner ,,A Linux bash based Bing and Google Dorking Tool.,https://github.com/Hood3dRob1n/BinGoo,BlackArch
binnavi,disassembler ,,"A binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",https://github.com/google/binnavi,BlackArch
binproxy,proxy ,,A proxy for arbitrary TCP connections.,https://github.com/nccgroup/BinProxy/,BlackArch
binwalk,disassembler ,,Tool for searching a given binary image for embedded files,https://github.com/OSPG/binwalk,BlackArch
binwally,binary ,,Binary and Directory tree comparison tool using the Fuzzy Hashing concept (ssdeep).,https://github.com/bmaia/binwally,BlackArch
bios_memimage,cracker ,,A tool to dump RAM contents to disk (aka cold boot attack).,http://citp.princeton.edu/memory/code/,BlackArch
birp,scanner ,,A tool that will assist in the security assessment of mainframe applications served over TN3270.,https://github.com/sensepost/birp,BlackArch
bitdump,exploitation ,,A tool to extract database data from a blind SQL injection vulnerability.,https://github.com/nbshelton/bitdump,BlackArch
bittwist,sniffer ,,"A simple yet powerful libpcap-based Ethernet packet generator. It is designed to complement tcpdump, which by itself has done a great job at capturing network traffic.",http://bittwist.sourceforge.net/,BlackArch
bkcrack,cracker ,,Crack legacy zip encryption with Biham and Kocher known plaintext attack.,https://github.com/kimci86/bkcrack,BlackArch
bkhive,cracker ,,Program for dumping the syskey bootkey from a Windows NT/2K/XP system hive.,http://sourceforge.net/projects/ophcrack,BlackArch
blackbox-scanner,scanner ,,Dork scanner & bruteforcing & hash cracker with blackbox framework.,https://github.com/sepehrdaddev/blackbox,BlackArch
blackeye,social ,,Ultimate phishing tool with ngrok and serveo.,https://github.com/Git-Ankitraj/blackeye-im,BlackArch
blackhash,cracker ,,Creates a filter from system hashes.,http://16s.us/blackhash/,BlackArch
blacknurse,dos ,,A low bandwidth ICMP attack that is capable of doing denial of service to well known firewalls.,https://github.com/jedisct1/blacknurse,BlackArch
bleah,scanner ,,"A BLE scanner for ""smart"" devices hacking.",https://github.com/evilsocket/bleah,BlackArch
bless,misc ,,"High-quality, full-featured hex editor",https://github.com/afrantzis/bless,BlackArch
bletchley,crypto ,,A collection of practical application cryptanalysis tools.,https://code.google.com/p/bletchley/,BlackArch
blind-sql-bitshifting,exploitation ,,A blind SQL injection module that uses bitshfting to calculate characters.,https://github.com/libeclipse/blind-sql-bitshifting,BlackArch
blindelephant,fingerprint ,,A web application fingerprinter. Attempts to discover the version of a (known) web application by comparing static files at known locations,http://blindelephant.sourceforge.net/,BlackArch
blindsql,database ,,Set of bash scripts for blind SQL injection attacks.,http://www.enye-sec.org/programas.html,BlackArch
blindy,scanner ,,Simple script to automate brutforcing blind sql injection vulnerabilities.,https://github.com/missDronio/blindy,BlackArch
blisqy,webapp ,,Exploit Time-based blind-SQL injection in HTTP-Headers (MySQL/MariaDB).,https://github.com/JohnTroony/Blisqy,BlackArch
bloodhound,recon ,,Six Degrees of Domain Admin,https://github.com/BloodHoundAD/BloodHound,BlackArch
bloodhound-python,recon ,,Bloodhound python data collector,https://github.com/fox-it/BloodHound.py,BlackArch
bloodyad,exploitation ,,An Active Directory Privilege Escalation Framework.,https://github.com/CravateRouge/bloodyAD,BlackArch
blue-hydra,bluetooth ,,A Bluetooth device discovery service built on top of the bluez library.,https://github.com/pwnieexpress/blue_hydra,BlackArch
